,Actor,Film,Year,Genre,Boxoffice (Cr),IMDb
0,Aamir Khan,PK,2014,Comedy/Sci-Fi,750,8.1
1,Salman Khan,Bajrangi Bhaijaan,2015,Drama/Action,922,8.1
4,Vicky Kaushal,Chhaava,2025,Historical/Drama,808,7.3
7,Ranbir Kapoor,Sanju,2018,Biography,586,7.6
8,Salman Khan,Sultan,2016,Sports/Drama,615,7.1
11,Akshay Kumar,Mission Mangal,2019,Drama/Sci-Fi,290,7.1
12,Ajay Devgn,Tanhaji,2020,Historical/Action,367,7.5
16,Alia Bhatt,Raazi,2018,Thriller/Drama,195,7.7
17,Akshay Kumar,Toilet: Ek Prem Katha,2017,Drama/Comedy,311,7.2
18,Ayushmann Khurrana,Badhaai Ho,2018,Comedy/Drama,221,7.9
